church_name,street_address,city,state,zip,type,word_count
Crossover Church,26100 Northwestern Hwy,Southfield,MI,48037,NA,2
GO CHURCH - Westside ATL,1300 Joseph E Boone Blvd NW,Atlanta,GA,30314,NA,5
Living Rock Church,500 E Main St,Luverne,MN,56156,NA,3
Faith Promise Church - Bristol,2133 Volunteer Pkwy,Bristol,TN,37620,NA,5
River Valley Church - Crosstown,10801 Red Circle Dr,Minnetonka,MN,55343,NA,5
Cross and Anchor Church,2831 E Grand Blvd,Detroit,MI,48211,NA,4
Faith Xperience Church,2260 Medbury St,Detroit,MI,48211,NA,3
Judah Church,104 Cannon Ave,Bristol,TN,37620,NA,2
One Church - Sulphur Springs,1400 TX-301 Loop,Sulphur Springs,TX,75482,NA,5
Westside Movement,1001 MN-7,Hopkins,MN,55305,NA,2
Substance Church - Downtown,101 E Grant St,Minneapolis,MN,55403,NA,4
Real Life Church,2353 N Chatsworth St,Roseville,MN,55113,NA,3
River Valley Church - City,105 N 1st St,Minneapolis,MN,55401,NA,5
Motor City Church - Detroit,3668 Livernois Rd,Troy,MI,48083,NA,5
Ridge Church,1251 Coosa River Pkwy,Wetumpka,AL,36092,NA,2
City Light Church,3075 Shimmons Rd,Auburn Mills,MI,48326,NA,3
Church of the Highlands - Newnan,1515 Lower Fayetteville Rd,Newnan,GA,The Neewnan Centre,Community Center,6
COR Church,564 W Crogan St,Lawrenceville,GA,30046,NA,2
Agape Church,415 Central Ave,Laurel,MS,39440,NA,2
River Valley Church - Minnetrista,5595 Westwood Ave,Minnetrista,MN,55364,NA,5
GO CHURCH - South Metro Atlanta,3935 Hwy 34 E,Sharpsburg,GA,30277,NA,6
Live Free Church,706 Grayson Hwy,Lawrenceville,GA,NA,NA,3
The Springs Church - Collins,983 Cold Springs Rd,Collins,MS,39428,NA,5
Grace Creek Church,1500 W Hawkins Pkwy,Longview,TX,75605,NA,3
Seacoast Church - Asheville,123 Sweeten Creek Rd,Asheville,NC,28803,NA,4
Church of the King - Atlanta South,201 Walt Banks Rd,Peachtree City,GA,30269,NA,7
Pathway Church Longview,913 W Loop 281,Longview,TX,NA,NA,3
Converge Church,913 W Loop 281 #101,Longview,TX,75604,NA,2
